Year,San Jose,7 year moving average
1849,14.12,
1850,13.8,
1851,14.39,
1852,13.81,
1853,14.4,
1854,13.98,
1855,14.2,14.1
1856,14.1,14.09714286
1857,14.78,14.23714286
1858,14.19,14.20857143
1859,13.71,14.19428571
1860,13.81,14.11
1861,14.88,14.23857143
1862,14.43,14.27142857
1863,14.43,14.31857143
1864,15.18,14.37571429
1865,14.32,14.39428571
1866,14.67,14.53142857
1867,14.46,14.62428571
1868,14.25,14.53428571
1869,14.57,14.55428571
1870,14.19,14.52
1871,14.34,14.4
1872,14.63,14.44428571
1873,14.46,14.41428571
1874,14.09,14.36142857
1875,14.76,14.43428571
1876,14.44,14.41571429
1877,15.03,14.53571429
1878,14.37,14.54
1879,14.2,14.47857143
1880,13.22,14.30142857
1881,14.39,14.34428571
1882,13.58,14.17571429
1883,13.93,14.10285714
1884,14.05,13.96285714
1885,15.05,14.06
1886,14.58,14.11428571
1887,14.38,14.28
1888,14.7,14.32428571
1889,14.81,14.5
1890,14.05,14.51714286
1891,14.46,14.57571429
1892,14.05,14.43285714
1893,13.4,14.26428571
1894,13.8,14.18142857
1895,13.95,14.07428571
1896,14.22,13.99
1897,13.81,13.95571429
1898,13.77,
1899,14.04,
1900,14.64,
1901,14.34,
1902,14.07,
1903,14.12,
1904,14.5,
1905,14.39,
1906,14.81,
1907,14.34,
1908,14.01,
1909,14.05,
1910,14.17,
1911,13.46,
1912,13.95,
1913,14.38,
1914,14.33,
1915,14.3,
1916,13.61,
1917,14.06,
1918,14.14,
1919,13.6,
1920,13.72,
1921,14.24,
1922,13.61,
1923,14.13,
1924,14.1,
1925,14.34,
1926,15.14,
1927,14.24,
1928,14.32,
1929,14.25,
1930,14.25,
1931,14.93,
1932,14.24,
1933,13.93,
1934,15.31,
1935,14.12,
1936,15.13,
1937,14.36,
1938,14.35,
1939,14.81,
1940,15.12,
1941,14.98,
1942,14.2,
1943,14.72,
1944,14.17,
1945,14.41,
1946,13.83,
1947,14.51,
1948,13.65,
1949,13.9,
1950,14.66,
1951,14.06,
1952,14.11,
1953,14.42,
1954,14.18,
1955,13.74,
1956,14.08,
1957,14.59,
1958,15.41,
1959,15.39,
1960,14.59,
1961,14.65,
1962,14.22,
1963,14.19,
1964,14.24,
1965,14.14,
1966,14.74,
1967,14.5,
1968,14.66,
1969,14.51,
1970,14.76,
1971,13.89,
1972,14.25,
1973,14.58,
1974,14.41,
1975,13.82,
1976,14.72,
1977,14.63,
1978,14.96,
1979,14.99,
1980,14.74,
1981,15.22,
1982,14,
1983,15.07,
1984,14.97,
1985,14.23,
1986,15,
1987,14.95,
1988,15.08,
1989,14.45,
1990,14.73,
1991,14.5,
1992,15.53,
1993,14.97,
1994,14.21,
1995,15.31,
1996,15.56,
1997,15.75,
1998,14.38,
1999,14.41,
2000,15.02,
2001,15.25,
2002,15,
2003,15.43,
2004,15.37,
2005,15.17,
2006,15.02,
2007,14.94,
2008,15.05,
2009,15.02,
2010,14.67,
2011,14.5,
2012,15.05,
2013,16.23,
1916,8.23,
1917,8.02,
1918,8.13,
1919,8.38,
1920,8.36,
1921,8.57,
1922,8.41,
1923,8.42,
1924,8.51,
1925,8.53,
1926,8.73,
1927,8.52,
1928,8.63,
1929,8.24,
1930,8.63,
1931,8.72,
1932,8.71,
1933,8.34,
1934,8.63,
1935,8.52,
1936,8.55,
1937,8.7,
1938,8.86,
1939,8.76,
1940,8.76,
1941,8.77,
1942,8.73,
1943,8.76,
1944,8.85,
1945,8.58,
1946,8.68,
1947,8.8,
1948,8.75,
1949,8.59,
1950,8.37,
1951,8.63,
1952,8.64,
1953,8.87,
1954,8.56,
1955,8.63,
1956,8.28,
1957,8.73,
1958,8.77,
1959,8.73,
1960,8.58,
1961,8.8,
1962,8.75,
1963,8.86,
1964,8.41,
1965,8.53,
1966,8.6,
1967,8.7,
1968,8.52,
1969,8.6,
1970,8.7,
1971,8.6,
1972,8.5,
1973,8.95,
1974,8.47,
1975,8.74,
1976,8.35,
1977,8.85,
1978,8.69,
1979,8.73,
1980,8.98,
1981,9.17,
1982,8.64,
1983,9.03,
1984,8.69,
1985,8.66,
1986,8.83,
1987,8.99,
1988,9.2,
1989,8.92,
1990,9.23,
1991,9.18,
1992,8.84,
1993,8.87,
1994,9.04,
1995,9.35,
1996,9.04,
1997,9.2,
1998,9.52,
1999,9.29,
2000,9.2,
2001,9.41,
2002,9.57,
2003,9.53,
2004,9.32,
2005,9.7,
2006,9.53,
2007,9.73,
2008,9.43,
2009,9.51,
2010,9.7,
2011,9.52,
2012,9.51,
2013,9.61,
2014,9.57,
2015,9.83,
